NH3,NO2,PM10,Lat,Lon,Station
2.18,10.64,6.688,52.13795,4.83819,NL10633
2.18,9.58,10.168,52.13795,4.83819,NL10633
2.49,8.86,2.452,52.13795,4.83819,NL10633
2.23,11.43,5.944,52.13795,4.83819,NL10633
2.49,12.75,9.916,52.13795,4.83819,NL10633
2.18,13.48,11.668,52.13795,4.83819,NL10633
2.49,8.83,-0.032,52.13795,4.83819,NL10633
2.49,12.32,-0.536,52.13795,4.83819,NL10633
2.49,11.39,13.528,52.13795,4.83819,NL10633
2.49,13.37,-0.284,52.13795,4.83819,NL10633
2.49,12.71,14.896,52.13795,4.83819,NL10633
2.8,11.36,,52.13795,4.83819,NL10633
2.65,11.76,20.368,52.13795,4.83819,NL10633
2.8,14.23,12.412,52.13795,4.83819,NL10633
2.8,14.19,15.64,52.13795,4.83819,NL10633
3.12,10.95,9.676,52.13795,4.83819,NL10633
3.12,9.99,8.92,52.13795,4.83819,NL10633
3.01,7.2,5.944,52.13795,4.83819,NL10633
2.8,9.31,5.944,52.13795,4.83819,NL10633
2.8,5.53,11.416,52.13795,4.83819,NL10633
2.49,12.77,0.712,52.13795,4.83819,NL10633
2.49,13.32,8.68,52.13795,4.83819,NL10633
1.87,56.28,17.14,52.13795,4.83819,NL10633
2.49,53.89,14.404,52.13795,4.83819,NL10633
3.38,50.37,20.368,52.13795,4.83819,NL10633
2.8,46.1,39.532,52.13795,4.83819,NL10633
2.49,40.41,31.696,52.13795,4.83819,NL10633
2.49,49.86,12.412,52.13795,4.83819,NL10633
2.18,50.26,8.176,52.13795,4.83819,NL10633
2.18,40.98,6.184,52.13795,4.83819,NL10633
2.18,31.72,-0.284,52.13795,4.83819,NL10633
2.18,35.07,2.956,52.13795,4.83819,NL10633
2.8,16.46,14.152,52.13795,4.83819,NL10633
3.12,16.85,25.348,52.13795,4.83819,NL10633
3.12,31.51,,52.13795,4.83819,NL10633
2.8,41.42,7.936,52.13795,4.83819,NL10633
2.8,28.94,18.376,52.13795,4.83819,NL10633
2.49,28.77,26.716,52.13795,4.83819,NL10633
2.49,28.76,17.764,52.13795,4.83819,NL10633
2.7,29.4,26.092,52.13795,4.83819,NL10633
2.18,22.59,10.42,52.13795,4.83819,NL10633
1.87,20.46,9.304,52.13795,4.83819,NL10633
2.08,28.1,11.908,52.13795,4.83819,NL10633
2.8,21.86,17.884,52.13795,4.83819,NL10633
2.8,26.43,10.54,52.13795,4.83819,NL10633
2.49,28.45,15.52,52.13795,4.83819,NL10633
2.49,38.92,14.896,52.13795,4.83819,NL10633
2.18,56.44,12.664,52.13795,4.83819,NL10633
2.18,59.24,8.68,52.13795,4.83819,NL10633
1.87,50.46,22.12,52.13795,4.83819,NL10633
1.87,48.57,8.428,52.13795,4.83819,NL10633
1.56,46.79,18.628,52.13795,4.83819,NL10633
1.56,43.54,18.88,52.13795,4.83819,NL10633
1.56,37.97,19.624,52.13795,4.83819,NL10633
1.87,33.38,14.152,52.13795,4.83819,NL10633
1.87,30.62,,52.13795,4.83819,NL10633
1.56,25.94,36.676,52.13795,4.83819,NL10633
1.56,25.77,36.796,52.13795,4.83819,NL10633
1.24,15.11,27.592,52.13795,4.83819,NL10633
1.24,13.83,20.872,52.13795,4.83819,NL10633
1.24,16.84,19.252,52.13795,4.83819,NL10633
1.24,21.65,21.496,52.13795,4.83819,NL10633
1.24,22.65,15.52,52.13795,4.83819,NL10633
1.24,20.7,11.788,52.13795,4.83819,NL10633
1.5,20.93,14.896,52.13795,4.83819,NL10633
1.56,19.48,13.276,52.13795,4.83819,NL10633
1.56,18.23,0.712,52.13795,4.83819,NL10633
1.87,14.59,16.888,52.13795,4.83819,NL10633
1.61,,8.428,52.13795,4.83819,NL10633
1.56,,10.54,52.13795,4.83819,NL10633
1.56,,18.628,52.13795,4.83819,NL10633
1.24,6.43,10.912,52.13795,4.83819,NL10633
1.24,6.08,13.528,52.13795,4.83819,NL10633
1.24,4.62,10.54,52.13795,4.83819,NL10633
1.24,4.87,17.884,52.13795,4.83819,NL10633
1.24,4.09,10.54,52.13795,4.83819,NL10633
1.24,3.5,23.98,52.13795,4.83819,NL10633
0.93,2.8,28.96,52.13795,4.83819,NL10633
1.24,3.08,16.888,52.13795,4.83819,NL10633
1.24,5.17,14.404,52.13795,4.83819,NL10633
1.24,7.1,,52.13795,4.83819,NL10633
1.24,4.23,20.128,52.13795,4.83819,NL10633
1.24,2.6,17.14,52.13795,4.83819,NL10633
1.24,3.08,17.14,52.13795,4.83819,NL10633
0.93,7.4,15.148,52.13795,4.83819,NL10633
0.93,6.61,15.892,52.13795,4.83819,NL10633
0.93,7.83,8.92,52.13795,4.83819,NL10633
0.93,11.2,16.144,52.13795,4.83819,NL10633
0.93,5.61,5.944,52.13795,4.83819,NL10633
0.98,6.36,11.416,52.13795,4.83819,NL10633
0.93,5.89,3.448,52.13795,4.83819,NL10633
0.93,6.7,24.604,52.13795,4.83819,NL10633
0.93,6.08,23.86,52.13795,4.83819,NL10633
0.93,10.55,26.596,52.13795,4.83819,NL10633
0.93,11.93,34.804,52.13795,4.83819,NL10633
0.93,10.32,21.868,52.13795,4.83819,NL10633
0.93,13.7,41.02,52.13795,4.83819,NL10633
0.93,14.29,30.7,52.13795,4.83819,NL10633
1.24,10.92,33.556,52.13795,4.83819,NL10633
1.24,11.72,23.86,52.13795,4.83819,NL10633
1.24,4.15,20.872,52.13795,4.83819,NL10633
1.56,4.43,25.972,52.13795,4.83819,NL10633
1.24,8.59,23.86,52.13795,4.83819,NL10633
1.24,4.23,18.004,52.13795,4.83819,NL10633
1.24,8.02,20.872,52.13795,4.83819,NL10633
1.24,8.74,,52.13795,4.83819,NL10633
1.56,12.5,26.836,52.13795,4.83819,NL10633
1.56,8.59,19.372,52.13795,4.83819,NL10633
1.56,9.07,25.348,52.13795,4.83819,NL10633
1.24,8.67,17.884,52.13795,4.83819,NL10633
1.56,10.28,17.14,52.13795,4.83819,NL10633
1.24,19.61,23.608,52.13795,4.83819,NL10633
1.87,14.93,13.276,52.13795,4.83819,NL10633
1.87,18.32,13.408,52.13795,4.83819,NL10633
1.56,12.14,17.884,52.13795,4.83819,NL10633
1.87,10.13,14.896,52.13795,4.83819,NL10633
1.56,9.63,26.092,52.13795,4.83819,NL10633
1.56,12.25,16.516,52.13795,4.83819,NL10633
2.28,31.51,32.32,52.13795,4.83819,NL10633
6.87,25.54,26.836,52.13795,4.83819,NL10633
7.18,33.07,33.556,52.13795,4.83819,NL10633
8.43,27.16,31.324,52.13795,4.83819,NL10633
9.16,30.66,28.456,52.13795,4.83819,NL10633
10.1,37.7,40.528,52.13795,4.83819,NL10633
7.8,55.16,34.312,52.13795,4.83819,NL10633
7.49,61.95,32.812,52.13795,4.83819,NL10633
7.49,51.48,,52.13795,4.83819,NL10633
7.49,37.44,26.092,52.13795,4.83819,NL10633
12.34,44.99,34.312,52.13795,4.83819,NL10633
12.96,41.94,22.492,52.13795,4.83819,NL10633
10.3,44.17,27.46,52.13795,4.83819,NL10633
12.49,32.52,29.704,52.13795,4.83819,NL10633
14.06,26.53,20.872,52.13795,4.83819,NL10633
13.43,16.07,9.676,52.13795,4.83819,NL10633
11.87,6.22,7.312,52.13795,4.83819,NL10633
9.99,4.6,20.992,52.13795,4.83819,NL10633
8.74,5.46,,52.13795,4.83819,NL10633
8.43,7.06,8.548,52.13795,4.83819,NL10633
7.18,6.16,23.236,52.13795,4.83819,NL10633
5.62,11.26,21.616,52.13795,4.83819,NL10633
