NH3,NO2,PM10,Lat,Lon,Station
5.16,3.44,22.31,51.54052,5.85307,NL10131
4.85,6.19,19.058,51.54052,5.85307,NL10131
4.85,8.56,25.058,51.54052,5.85307,NL10131
4.85,9.47,19.934,51.54052,5.85307,NL10131
5.16,12.01,8.57,51.54052,5.85307,NL10131
5.48,10.27,12.314,51.54052,5.85307,NL10131
5.16,10.49,19.814,51.54052,5.85307,NL10131
5.79,11.09,9.818,51.54052,5.85307,NL10131
5.48,12.22,23.81,51.54052,5.85307,NL10131
5.79,11.58,22.058,51.54052,5.85307,NL10131
6.21,10.53,17.306,51.54052,5.85307,NL10131
5.89,15.49,22.802,51.54052,5.85307,NL10131
7.04,17.33,30.302,51.54052,5.85307,NL10131
7.25,19.16,33.302,51.54052,5.85307,NL10131
6.73,14.24,,51.54052,5.85307,NL10131
5.63,17.16,15.062,51.54052,5.85307,NL10131
4.85,28.47,8.066,51.54052,5.85307,NL10131
4.23,28.55,23.81,51.54052,5.85307,NL10131
4.23,28.71,23.054,51.54052,5.85307,NL10131
4.33,23.81,24.062,51.54052,5.85307,NL10131
4.54,19.31,25.55,51.54052,5.85307,NL10131
4.23,12.59,12.062,51.54052,5.85307,NL10131
3.92,10.0,15.566,51.54052,5.85307,NL10131
3.6,7.97,9.062,51.54052,5.85307,NL10131
3.6,7.66,4.19,51.54052,5.85307,NL10131
3.6,9.14,1.322,51.54052,5.85307,NL10131
3.6,9.36,0.326,51.54052,5.85307,NL10131
5.16,8.99,-5.422,51.54052,5.85307,NL10131
7.04,10.67,8.57,51.54052,5.85307,NL10131
6.73,11.17,7.07,51.54052,5.85307,NL10131
6.41,12.79,12.818,51.54052,5.85307,NL10131
6.41,10.04,16.31,51.54052,5.85307,NL10131
5.79,9.3,22.802,51.54052,5.85307,NL10131
5.48,8.54,16.562,51.54052,5.85307,NL10131
4.85,7.27,9.566,51.54052,5.85307,NL10131
4.85,7.83,10.31,51.54052,5.85307,NL10131
4.85,7.35,10.814,51.54052,5.85307,NL10131
4.85,7.98,14.066,51.54052,5.85307,NL10131
7.35,10.57,20.054,51.54052,5.85307,NL10131
7.35,9.06,23.306,51.54052,5.85307,NL10131
7.35,8.19,23.558,51.54052,5.85307,NL10131
7.66,8.22,24.554,51.54052,5.85307,NL10131
6.99,7.14,19.814,51.54052,5.85307,NL10131
6.73,7.98,-3.67,51.54052,5.85307,NL10131
6.73,5.36,8.066,51.54052,5.85307,NL10131
11.1,6.64,13.562,51.54052,5.85307,NL10131
14.23,6.53,15.818,51.54052,5.85307,NL10131
11.73,6.56,21.554,51.54052,5.85307,NL10131
13.6,7.2,21.806,51.54052,5.85307,NL10131
14.23,11.07,25.55,51.54052,5.85307,NL10131
13.29,9.14,15.566,51.54052,5.85307,NL10131
10.79,6.83,11.81,51.54052,5.85307,NL10131
9.23,5.9,0.326,51.54052,5.85307,NL10131
8.92,5.52,19.562,51.54052,5.85307,NL10131
8.29,7.0,6.314,51.54052,5.85307,NL10131
8.92,7.63,16.814,51.54052,5.85307,NL10131
9.54,7.38,7.814,51.54052,5.85307,NL10131
8.92,9.39,25.058,51.54052,5.85307,NL10131
9.23,12.44,29.174,51.54052,5.85307,NL10131
11.1,14.71,31.802,51.54052,5.85307,NL10131
12.04,21.26,,51.54052,5.85307,NL10131
11.73,22.98,32.054,51.54052,5.85307,NL10131
12.04,22.04,31.058,51.54052,5.85307,NL10131
10.16,16.8,25.55,51.54052,5.85307,NL10131
8.6,14.71,17.066,51.54052,5.85307,NL10131
8.6,36.44,26.306,51.54052,5.85307,NL10131
8.29,38.6,17.306,51.54052,5.85307,NL10131
7.66,37.51,26.054,51.54052,5.85307,NL10131
6.73,30.16,33.554,51.54052,5.85307,NL10131
6.41,29.81,26.054,51.54052,5.85307,NL10131
6.73,31.76,45.542,51.54052,5.85307,NL10131
7.25,29.4,38.546,51.54052,5.85307,NL10131
7.82,27.56,6.566,51.54052,5.85307,NL10131
8.29,24.32,10.562,51.54052,5.85307,NL10131
7.66,22.73,18.062,51.54052,5.85307,NL10131
7.98,23.58,14.066,51.54052,5.85307,NL10131
8.6,26.88,9.062,51.54052,5.85307,NL10131
8.92,29.09,5.066,51.54052,5.85307,NL10131
8.6,31.92,6.074,51.54052,5.85307,NL10131
8.92,32.3,24.554,51.54052,5.85307,NL10131
9.23,33.16,9.314,51.54052,5.85307,NL10131
8.6,37.54,50.786,51.54052,5.85307,NL10131
7.66,33.33,17.066,51.54052,5.85307,NL10131
7.66,28.1,2.066,51.54052,5.85307,NL10131
9.85,28.55,11.57,51.54052,5.85307,NL10131
3.29,15.8,6.314,51.54052,5.85307,NL10131
3.92,19.27,0.326,51.54052,5.85307,NL10131
4.23,10.19,5.066,51.54052,5.85307,NL10131
4.54,11.4,22.562,51.54052,5.85307,NL10131
4.85,11.91,22.562,51.54052,5.85307,NL10131
4.85,9.87,18.314,51.54052,5.85307,NL10131
5.16,10.17,6.314,51.54052,5.85307,NL10131
6.41,9.76,11.57,51.54052,5.85307,NL10131
7.04,10.7,5.198,51.54052,5.85307,NL10131
7.66,12.37,14.81,51.54052,5.85307,NL10131
6.73,19.11,21.062,51.54052,5.85307,NL10131
6.41,17.96,,51.54052,5.85307,NL10131
6.1,14.88,14.558,51.54052,5.85307,NL10131
7.04,12.81,16.934,51.54052,5.85307,NL10131
7.66,12.5,17.69,51.54052,5.85307,NL10131
7.98,13.41,13.814,51.54052,5.85307,NL10131
9.23,15.97,12.938,51.54052,5.85307,NL10131
8.29,21.11,7.694,51.54052,5.85307,NL10131
8.13,21.16,6.314,51.54052,5.85307,NL10131
7.98,18.89,9.446,51.54052,5.85307,NL10131
7.98,13.8,4.814,51.54052,5.85307,NL10131
7.93,10.83,8.438,51.54052,5.85307,NL10131
7.72,10.06,16.058,51.54052,5.85307,NL10131
7.04,9.14,12.314,51.54052,5.85307,NL10131
5.79,5.49,18.314,51.54052,5.85307,NL10131
5.48,6.04,21.806,51.54052,5.85307,NL10131
5.58,11.09,26.558,51.54052,5.85307,NL10131
10.89,20.66,30.674,51.54052,5.85307,NL10131
14.85,25.71,29.798,51.54052,5.85307,NL10131
12.67,32.29,13.814,51.54052,5.85307,NL10131
11.42,35.53,31.058,51.54052,5.85307,NL10131
12.04,26.8,25.058,51.54052,5.85307,NL10131
12.77,20.61,19.19,51.54052,5.85307,NL10131
13.81,16.86,31.802,51.54052,5.85307,NL10131
11.73,13.07,24.434,51.54052,5.85307,NL10131
12.04,11.69,34.046,51.54052,5.85307,NL10131
12.67,8.16,,51.54052,5.85307,NL10131
13.29,5.6,28.802,51.54052,5.85307,NL10131
15.48,6.48,21.554,51.54052,5.85307,NL10131
19.33,7.85,22.178,51.54052,5.85307,NL10131
21.1,8.05,16.31,51.54052,5.85307,NL10131
18.5,12.96,26.558,51.54052,5.85307,NL10131
18.6,20.79,27.434,51.54052,5.85307,NL10131
18.91,21.2,19.934,51.54052,5.85307,NL10131
17.35,15.13,17.81,51.54052,5.85307,NL10131
14.54,12.16,23.054,51.54052,5.85307,NL10131
12.67,9.06,20.054,51.54052,5.85307,NL10131
12.09,8.73,10.19,51.54052,5.85307,NL10131
10.01,7.66,28.298,51.54052,5.85307,NL10131
13.13,27.51,26.054,51.54052,5.85307,NL10131
16.1,24.36,19.19,51.54052,5.85307,NL10131
18.92,27.72,23.678,51.54052,5.85307,NL10131
28.91,24.69,20.81,51.54052,5.85307,NL10131
26.57,23.92,30.422,51.54052,5.85307,NL10131
23.29,30.54,28.934,51.54052,5.85307,NL10131
22.04,24.66,27.554,51.54052,5.85307,NL10131
24.85,26.89,19.814,51.54052,5.85307,NL10131
22.82,33.22,,51.54052,5.85307,NL10131
27.04,27.75,32.678,51.54052,5.85307,NL10131
23.45,24.16,35.054,51.54052,5.85307,NL10131
27.51,26.62,35.054,51.54052,5.85307,NL10131
24.07,23.93,27.434,51.54052,5.85307,NL10131
37.51,19.39,37.178,51.54052,5.85307,NL10131
47.51,14.56,17.81,51.54052,5.85307,NL10131
30.01,10.64,18.566,51.54052,5.85307,NL10131
28.29,8.55,20.186,51.54052,5.85307,NL10131
21.94,6.61,7.946,51.54052,5.85307,NL10131
22.56,7.24,21.314,51.54052,5.85307,NL10131
47.51,5.74,35.798,51.54052,5.85307,NL10131
28.19,24.31,24.554,51.54052,5.85307,NL10131
26.42,17.58,18.566,51.54052,5.85307,NL10131
20.79,17.67,19.058,51.54052,5.85307,NL10131
20.16,23.88,25.178,51.54052,5.85307,NL10131
14.23,26.75,28.298,51.54052,5.85307,NL10131
44.23,27.44,29.678,51.54052,5.85307,NL10131
33.19,35.84,31.298,51.54052,5.85307,NL10131
