NH3,NO2,PM10,Lat,Lon,Station
4.1,5.23,10.924,52.111621,5.708419,NL10738
4.41,6.18,-0.044,52.111621,5.708419,NL10738
4.41,7.17,-0.296,52.111621,5.708419,NL10738
4.41,5.31,-2.312,52.111621,5.708419,NL10738
4.1,4.38,3.232,52.111621,5.708419,NL10738
4.1,3.94,4.492,52.111621,5.708419,NL10738
4.1,4.15,-0.296,52.111621,5.708419,NL10738
4.1,4.59,-4.076,52.111621,5.708419,NL10738
4.41,6.95,7.264,52.111621,5.708419,NL10738
4.1,9.07,0.46,52.111621,5.708419,NL10738
4.1,10.64,9.04,52.111621,5.708419,NL10738
4.1,14.21,,52.111621,5.708419,NL10738
4.1,11.69,6.76,52.111621,5.708419,NL10738
4.1,7.56,6.76,52.111621,5.708419,NL10738
4.1,6.94,6.004,52.111621,5.708419,NL10738
4.1,5.95,5.5,52.111621,5.708419,NL10738
4.1,5.48,4.492,52.111621,5.708419,NL10738
4.1,4.69,4.744,52.111621,5.708419,NL10738
4.1,4.39,9.796,52.111621,5.708419,NL10738
3.79,4.9,12.82,52.111621,5.708419,NL10738
3.47,5.65,7.528,52.111621,5.708419,NL10738
3.47,5.93,9.04,52.111621,5.708419,NL10738
3.16,5.83,10.804,52.111621,5.708419,NL10738
3.16,4.46,7.012,52.111621,5.708419,NL10738
3.16,4.74,17.86,52.111621,5.708419,NL10738
3.16,6.66,13.324,52.111621,5.708419,NL10738
2.85,9.56,14.836,52.111621,5.708419,NL10738
2.85,12.8,20.884,52.111621,5.708419,NL10738
2.85,17.48,18.616,52.111621,5.708419,NL10738
2.85,20.23,14.332,52.111621,5.708419,NL10738
2.85,24.07,14.584,52.111621,5.708419,NL10738
3.16,21.06,9.796,52.111621,5.708419,NL10738
3.47,19.0,10.552,52.111621,5.708419,NL10738
3.47,14.13,14.584,52.111621,5.708419,NL10738
3.16,12.1,14.08,52.111621,5.708419,NL10738
3.16,9.73,6.76,52.111621,5.708419,NL10738
2.85,10.88,,52.111621,5.708419,NL10738
2.85,13.38,13.576,52.111621,5.708419,NL10738
2.53,13.6,12.436,52.111621,5.708419,NL10738
2.53,12.32,16.6,52.111621,5.708419,NL10738
2.53,15.5,13.948,52.111621,5.708419,NL10738
2.22,20.15,15.088,52.111621,5.708419,NL10738
2.22,28.68,22.648,52.111621,5.708419,NL10738
2.53,26.61,18.112,52.111621,5.708419,NL10738
2.22,18.8,19.624,52.111621,5.708419,NL10738
2.22,12.89,10.672,52.111621,5.708419,NL10738
2.22,9.09,9.04,52.111621,5.708419,NL10738
2.22,7.28,4.492,52.111621,5.708419,NL10738
2.53,7.66,11.308,52.111621,5.708419,NL10738
2.53,7.31,9.412,52.111621,5.708419,NL10738
2.53,7.39,14.332,52.111621,5.708419,NL10738
2.53,11.02,6.76,52.111621,5.708419,NL10738
2.53,10.82,18.112,52.111621,5.708419,NL10738
2.53,9.21,3.736,52.111621,5.708419,NL10738
2.53,8.56,,52.111621,5.708419,NL10738
2.85,9.66,,52.111621,5.708419,NL10738
3.47,9.37,1.096,52.111621,5.708419,NL10738
3.79,10.47,1.096,52.111621,5.708419,NL10738
4.1,10.01,4.492,52.111621,5.708419,NL10738
3.79,10.16,11.812,52.111621,5.708419,NL10738
3.16,9.72,15.844,52.111621,5.708419,NL10738
2.53,9.24,,52.111621,5.708419,NL10738
2.22,8.03,14.332,52.111621,5.708419,NL10738
2.53,7.62,8.656,52.111621,5.708419,NL10738
2.22,5.81,12.436,52.111621,5.708419,NL10738
1.91,5.71,7.528,52.111621,5.708419,NL10738
2.22,5.63,21.136,52.111621,5.708419,NL10738
1.91,7.45,18.496,52.111621,5.708419,NL10738
1.91,6.46,14.704,52.111621,5.708419,NL10738
1.91,7.49,22.276,52.111621,5.708419,NL10738
1.91,8.17,15.844,52.111621,5.708419,NL10738
2.22,6.63,20.38,52.111621,5.708419,NL10738
2.22,6.1,24.172,52.111621,5.708419,NL10738
1.91,3.67,13.444,52.111621,5.708419,NL10738
2.22,5.38,11.68,52.111621,5.708419,NL10738
2.22,6.51,16.228,52.111621,5.708419,NL10738
2.22,8.38,8.284,52.111621,5.708419,NL10738
2.22,8.95,6.388,52.111621,5.708419,NL10738
2.22,11.23,20.764,52.111621,5.708419,NL10738
2.22,14.41,22.276,52.111621,5.708419,NL10738
2.22,18.1,23.404,52.111621,5.708419,NL10738
2.53,17.93,27.952,52.111621,5.708419,NL10738
2.53,15.88,,52.111621,5.708419,NL10738
2.22,15.85,21.892,52.111621,5.708419,NL10738
2.53,14.76,28.708,52.111621,5.708419,NL10738
2.22,9.29,16.984,52.111621,5.708419,NL10738
2.22,8.23,10.924,52.111621,5.708419,NL10738
2.22,5.69,7.528,52.111621,5.708419,NL10738
2.22,4.38,3.364,52.111621,5.708419,NL10738
2.22,3.47,9.04,52.111621,5.708419,NL10738
2.22,3.62,11.68,52.111621,5.708419,NL10738
2.22,3.93,15.844,52.111621,5.708419,NL10738
2.22,4.16,6.388,52.111621,5.708419,NL10738
2.53,5.01,9.412,52.111621,5.708419,NL10738
2.53,3.09,18.868,52.111621,5.708419,NL10738
2.22,3.92,1.852,52.111621,5.708419,NL10738
2.22,7.06,14.704,52.111621,5.708419,NL10738
2.53,6.76,21.016,52.111621,5.708419,NL10738
2.85,4.86,10.924,52.111621,5.708419,NL10738
2.85,5.96,15.844,52.111621,5.708419,NL10738
3.16,7.09,18.496,52.111621,5.708419,NL10738
3.79,8.89,29.836,52.111621,5.708419,NL10738
4.1,8.56,-0.416,52.111621,5.708419,NL10738
4.72,10.38,19.624,52.111621,5.708419,NL10738
4.72,4.9,12.436,52.111621,5.708419,NL10738
5.66,9.35,12.436,52.111621,5.708419,NL10738
6.6,4.06,11.308,52.111621,5.708419,NL10738
6.91,3.03,,52.111621,5.708419,NL10738
7.22,1.91,17.356,52.111621,5.708419,NL10738
7.53,1.73,18.112,52.111621,5.708419,NL10738
7.85,1.38,11.428,52.111621,5.708419,NL10738
7.85,1.02,14.332,52.111621,5.708419,NL10738
7.85,1.47,9.796,52.111621,5.708419,NL10738
8.47,1.72,6.76,52.111621,5.708419,NL10738
9.72,1.63,24.928,52.111621,5.708419,NL10738
10.66,1.49,20.38,52.111621,5.708419,NL10738
11.6,1.62,25.684,52.111621,5.708419,NL10738
11.6,2.24,33.244,52.111621,5.708419,NL10738
10.66,2.96,22.144,52.111621,5.708419,NL10738
10.66,4.59,22.648,52.111621,5.708419,NL10738
10.66,6.68,18.112,52.111621,5.708419,NL10738
10.97,7.08,17.356,52.111621,5.708419,NL10738
12.85,7.67,25.684,52.111621,5.708419,NL10738
14.41,8.47,23.92,52.111621,5.708419,NL10738
15.03,6.66,18.868,52.111621,5.708419,NL10738
15.03,6.22,24.676,52.111621,5.708419,NL10738
15.03,7.25,26.944,52.111621,5.708419,NL10738
16.34,8.39,27.196,52.111621,5.708419,NL10738
17.54,12.49,33.124,52.111621,5.708419,NL10738
15.66,10.48,27.952,52.111621,5.708419,NL10738
13.16,15.94,23.404,52.111621,5.708419,NL10738
10.66,11.43,22.144,52.111621,5.708419,NL10738
9.1,15.3,,52.111621,5.708419,NL10738
7.33,20.9,25.432,52.111621,5.708419,NL10738
6.28,19.9,18.616,52.111621,5.708419,NL10738
5.66,32.89,22.144,52.111621,5.708419,NL10738
5.45,41.59,24.928,52.111621,5.708419,NL10738
5.66,42.44,24.544,52.111621,5.708419,NL10738
5.03,34.79,27.7,52.111621,5.708419,NL10738
4.41,27.26,30.976,52.111621,5.708419,NL10738
4.41,19.43,7.264,52.111621,5.708419,NL10738
4.41,12.13,1.972,52.111621,5.708419,NL10738
4.41,10.61,,52.111621,5.708419,NL10738
4.41,8.08,,52.111621,5.708419,NL10738
5.35,6.38,4.492,52.111621,5.708419,NL10738
5.45,9.23,9.04,52.111621,5.708419,NL10738
5.97,10.45,-0.8,52.111621,5.708419,NL10738
7.01,11.57,25.18,52.111621,5.708419,NL10738
7.85,11.01,20.38,52.111621,5.708419,NL10738
8.16,9.94,34.252,52.111621,5.708419,NL10738
8.16,11.73,10.048,52.111621,5.708419,NL10738
9.72,8.27,20.632,52.111621,5.708419,NL10738
10.35,7.21,19.624,52.111621,5.708419,NL10738
11.29,5.8,21.388,52.111621,5.708419,NL10738
11.91,6.9,22.648,52.111621,5.708419,NL10738
11.6,8.74,22.648,52.111621,5.708419,NL10738
6.55,6.95,25.684,52.111621,5.708419,NL10738
7.01,7.1,15.844,52.111621,5.708419,NL10738
7.53,5.82,17.992,52.111621,5.708419,NL10738
8.47,6.23,9.796,52.111621,5.708419,NL10738
11.6,4.51,21.016,52.111621,5.708419,NL10738
10.97,4.69,27.196,52.111621,5.708419,NL10738
11.29,5.86,15.088,52.111621,5.708419,NL10738
11.6,6.83,23.536,52.111621,5.708419,NL10738
11.6,5.83,16.48,52.111621,5.708419,NL10738
13.0,3.53,14.956,52.111621,5.708419,NL10738
15.03,3.1,12.688,52.111621,5.708419,NL10738
15.66,3.34,20.38,52.111621,5.708419,NL10738
16.6,3.06,18.112,52.111621,5.708419,NL10738
18.16,3.38,21.136,52.111621,5.708419,NL10738
19.1,3.89,20.38,52.111621,5.708419,NL10738
17.07,3.44,27.064,52.111621,5.708419,NL10738
18.78,4.02,13.696,52.111621,5.708419,NL10738
20.66,5.27,25.048,52.111621,5.708419,NL10738
22.85,6.04,30.088,52.111621,5.708419,NL10738
25.4,7.08,25.552,52.111621,5.708419,NL10738
28.16,6.75,32.488,52.111621,5.708419,NL10738
27.54,6.9,29.464,52.111621,5.708419,NL10738
20.82,11.57,,52.111621,5.708419,NL10738
15.35,13.18,25.684,52.111621,5.708419,NL10738
12.22,14.89,31.732,52.111621,5.708419,NL10738
10.35,16.12,21.016,52.111621,5.708419,NL10738
10.03,29.63,22.648,52.111621,5.708419,NL10738
9.41,35.29,20.38,52.111621,5.708419,NL10738
8.47,22.37,18.112,52.111621,5.708419,NL10738
7.22,17.61,15.088,52.111621,5.708419,NL10738
6.91,19.14,12.82,52.111621,5.708419,NL10738
6.91,25.17,17.992,52.111621,5.708419,NL10738
6.91,33.5,14.452,52.111621,5.708419,NL10738
7.22,36.52,17.488,52.111621,5.708419,NL10738
7.22,37.88,13.576,52.111621,5.708419,NL10738
7.53,41.56,12.064,52.111621,5.708419,NL10738
7.85,39.92,4.996,52.111621,5.708419,NL10738
8.16,42.49,14.584,52.111621,5.708419,NL10738
7.85,43.91,11.68,52.111621,5.708419,NL10738
7.85,45.64,17.356,52.111621,5.708419,NL10738
7.85,36.05,2.98,52.111621,5.708419,NL10738
8.47,23.98,7.012,52.111621,5.708419,NL10738
8.16,21.35,24.172,52.111621,5.708419,NL10738
6.91,22.56,9.292,52.111621,5.708419,NL10738
9.05,22.76,,52.111621,5.708419,NL10738
14.36,16.18,11.812,52.111621,5.708419,NL10738
18.42,12.72,12.064,52.111621,5.708419,NL10738
25.3,11.35,,52.111621,5.708419,NL10738
24.77,13.2,17.236,52.111621,5.708419,NL10738
16.65,16.32,21.016,52.111621,5.708419,NL10738
12.9,16.82,26.44,52.111621,5.708419,NL10738
23.06,13.99,21.892,52.111621,5.708419,NL10738
22.64,13.2,15.844,52.111621,5.708419,NL10738
14.72,16.37,14.956,52.111621,5.708419,NL10738
12.85,25.61,12.82,52.111621,5.708419,NL10738
12.48,31.08,17.488,52.111621,5.708419,NL10738
15.92,41.29,17.356,52.111621,5.708419,NL10738
13.16,47.74,25.18,52.111621,5.708419,NL10738
12.22,45.16,10.924,52.111621,5.708419,NL10738
13.79,39.02,-0.164,52.111621,5.708419,NL10738
16.29,36.81,12.94,52.111621,5.708419,NL10738
14.72,46.08,18.112,52.111621,5.708419,NL10738
13.16,47.15,18.112,52.111621,5.708419,NL10738
12.22,50.69,18.112,52.111621,5.708419,NL10738
11.29,55.54,21.136,52.111621,5.708419,NL10738
10.97,56.39,26.44,52.111621,5.708419,NL10738
10.35,55.86,27.82,52.111621,5.708419,NL10738
9.72,54.26,23.668,52.111621,5.708419,NL10738
9.72,50.22,19.0,52.111621,5.708419,NL10738
