NH3,NO2,PM10,Lat,Lon,Station
0.58,2.17,22.088,52.875725,6.932432,NL10929
0.51,2.94,28.124,52.875725,6.932432,NL10929
0.58,3.34,16.808,52.875725,6.932432,NL10929
0.58,3.68,18.692,52.875725,6.932432,NL10929
0.64,3.53,22.844,52.875725,6.932432,NL10929
0.64,2.86,25.868,52.875725,6.932432,NL10929
0.64,2.83,26.612,52.875725,6.932432,NL10929
0.7,2.07,17.936,52.875725,6.932432,NL10929
0.7,2.17,26.612,52.875725,6.932432,NL10929
0.64,3.37,30.764,52.875725,6.932432,NL10929
0.58,4.15,20.576,52.875725,6.932432,NL10929
0.58,4.99,16.436,52.875725,6.932432,NL10929
0.51,6.06,23.468,52.875725,6.932432,NL10929
0.51,5.81,,52.875725,6.932432,NL10929
0.51,4.6,17.18,52.875725,6.932432,NL10929
0.51,6.47,14.54,52.875725,6.932432,NL10929
0.51,8.8,26.996,52.875725,6.932432,NL10929
0.51,13.7,22.844,52.875725,6.932432,NL10929
0.58,16.46,23.228,52.875725,6.932432,NL10929
0.58,22.76,28.88,52.875725,6.932432,NL10929
0.64,23.76,32.648,52.875725,6.932432,NL10929
0.64,22.26,22.088,52.875725,6.932432,NL10929
0.64,20.49,5.108,52.875725,6.932432,NL10929
0.64,15.7,12.284,52.875725,6.932432,NL10929
0.7,8.86,3.608,52.875725,6.932432,NL10929
0.77,4.82,3.224,52.875725,6.932432,NL10929
0.7,3.94,9.644,52.875725,6.932432,NL10929
0.7,2.23,19.832,52.875725,6.932432,NL10929
0.7,2.81,14.924,52.875725,6.932432,NL10929
0.7,3.04,17.18,52.875725,6.932432,NL10929
0.7,2.87,20.576,52.875725,6.932432,NL10929
0.7,2.73,23.972,52.875725,6.932432,NL10929
0.64,2.5,8.504,52.875725,6.932432,NL10929
0.64,2.4,6.248,52.875725,6.932432,NL10929
0.58,2.71,17.564,52.875725,6.932432,NL10929
0.58,3.54,23.6,52.875725,6.932432,NL10929
0.58,3.3,22.844,52.875725,6.932432,NL10929
0.58,2.13,18.692,52.875725,6.932432,NL10929
0.58,2.39,22.472,52.875725,6.932432,NL10929
0.58,2.77,21.716,52.875725,6.932432,NL10929
0.58,2.08,19.076,52.875725,6.932432,NL10929
0.58,2.42,18.32,52.875725,6.932432,NL10929
0.58,2.64,13.412,52.875725,6.932432,NL10929
0.58,1.79,22.844,52.875725,6.932432,NL10929
0.58,1.57,18.32,52.875725,6.932432,NL10929
0.58,1.95,24.728,52.875725,6.932432,NL10929
0.58,1.74,16.808,52.875725,6.932432,NL10929
0.58,1.41,4.364,52.875725,6.932432,NL10929
0.64,2.44,15.296,52.875725,6.932432,NL10929
0.64,1.43,22.472,52.875725,6.932432,NL10929
0.64,1.43,25.484,52.875725,6.932432,NL10929
0.64,1.6,12.656,52.875725,6.932432,NL10929
0.64,1.86,29.132,52.875725,6.932432,NL10929
0.58,2.33,20.576,52.875725,6.932432,NL10929
