NH3,NO2,PM10,Lat,Lon,Station
0.39,6.63,2.512,52.296556,4.510817,NL10444
0.39,7.61,11.164,52.296556,4.510817,NL10444
0.58,6.16,-0.116,52.296556,4.510817,NL10444
0.58,8.28,4.768,52.296556,4.510817,NL10444
0.52,11.02,-3.884,52.296556,4.510817,NL10444
0.52,11.84,8.164,52.296556,4.510817,NL10444
0.52,7.75,37.504,52.296556,4.510817,NL10444
0.52,10.47,19.444,52.296556,4.510817,NL10444
0.46,8.81,3.64,52.296556,4.510817,NL10444
0.46,9.42,6.28,52.296556,4.510817,NL10444
0.46,8.7,9.292,52.296556,4.510817,NL10444
0.52,11.38,,52.296556,4.510817,NL10444
0.52,10.41,12.676,52.296556,4.510817,NL10444
0.52,20.97,20.2,52.296556,4.510817,NL10444
0.52,15.94,8.536,52.296556,4.510817,NL10444
0.58,12.08,12.676,52.296556,4.510817,NL10444
0.58,9.45,-0.116,52.296556,4.510817,NL10444
0.46,5.54,19.444,52.296556,4.510817,NL10444
0.46,7.59,17.56,52.296556,4.510817,NL10444
0.39,11.05,8.908,52.296556,4.510817,NL10444
0.39,9.7,14.932,52.296556,4.510817,NL10444
0.46,9.34,21.7,52.296556,4.510817,NL10444
0.52,11.12,18.688,52.296556,4.510817,NL10444
0.52,9.34,22.456,52.296556,4.510817,NL10444
0.46,8.23,13.432,52.296556,4.510817,NL10444
0.39,5.42,16.06,52.296556,4.510817,NL10444
0.39,2.93,13.804,52.296556,4.510817,NL10444
0.33,4.13,9.292,52.296556,4.510817,NL10444
0.33,5.11,17.944,52.296556,4.510817,NL10444
0.27,3.99,14.56,52.296556,4.510817,NL10444
0.33,5.79,18.064,52.296556,4.510817,NL10444
0.33,5.32,-5.012,52.296556,4.510817,NL10444
0.33,6.46,10.42,52.296556,4.510817,NL10444
0.33,5.05,15.304,52.296556,4.510817,NL10444
0.27,4.06,8.284,52.296556,4.510817,NL10444
0.27,6.99,10.036,52.296556,4.510817,NL10444
0.27,4.92,,52.296556,4.510817,NL10444
0.21,3.97,10.54,52.296556,4.510817,NL10444
0.21,3.95,17.32,52.296556,4.510817,NL10444
0.21,5.72,26.344,52.296556,4.510817,NL10444
0.27,5.6,21.328,52.296556,4.510817,NL10444
0.27,5.24,18.568,52.296556,4.510817,NL10444
0.27,4.48,9.784,52.296556,4.510817,NL10444
0.27,4.11,19.072,52.296556,4.510817,NL10444
0.33,26.67,22.828,52.296556,4.510817,NL10444
0.33,15.47,16.312,52.296556,4.510817,NL10444
0.33,12.36,10.792,52.296556,4.510817,NL10444
0.27,12.25,13.048,52.296556,4.510817,NL10444
0.27,11.77,0.004,52.296556,4.510817,NL10444
0.27,10.62,14.308,52.296556,4.510817,NL10444
0.33,12.78,13.048,52.296556,4.510817,NL10444
0.27,16.41,18.82,52.296556,4.510817,NL10444
0.33,17.63,13.048,52.296556,4.510817,NL10444
0.46,15.57,7.78,52.296556,4.510817,NL10444
0.65,12.81,10.036,52.296556,4.510817,NL10444
0.65,12.99,10.792,52.296556,4.510817,NL10444
0.71,13.01,12.052,52.296556,4.510817,NL10444
0.58,13.73,5.272,52.296556,4.510817,NL10444
0.58,14.19,11.548,52.296556,4.510817,NL10444
0.52,5.09,,52.296556,4.510817,NL10444
0.46,6.11,12.292,52.296556,4.510817,NL10444
0.39,6.61,,52.296556,4.510817,NL10444
