,name,lng,lat
0,NL10131,51.54052,5.85307
1,NL10444,52.296556,4.510817
2,NL10538,52.803657,5.050509
3,NL10633,52.13795,4.83819
4,NL10738,52.111621,5.708419
5,NL10929,52.875725,6.932432
